name,url,status,owner,repo,kind,archived,disabled,default_branch,pushed_at,last_pr_number,last_pr_created_at,last_pr_merged_at,latest_release_tag,latest_release_at,pushed_last_active_window,pr_last_active_window,release_last_active_window,last_event_at,classification,contributors_count,error
github_com_dgarijo_widoco,https://github.com/dgarijo/Widoco,processed,dgarijo,Widoco,project,False,False,master,2026-09-22T07:43:51+00:00,835,2026-09-21T17:32:30+00:00,2026-09-22T07:43:44+00:00,v1.4.25,2024-06-30T09:48:00+00:00,True,True,False,2026-09-22T07:43:51+00:00,active,37,
github_com_lincedu_lincedu_github_io,https://github.com/lincedu/lincedu.github.io,processed,lincedu,lincedu.github.io,website,False,False,main,2026-03-28T07:46:02+00:00,,,,,,True,False,False,2026-03-28T07:46:02+00:00,active,1,
github_com_lincedu_modelos_ia,https://github.com/lincedu/modelos-ia,processed,lincedu,modelos-ia,project,False,False,main,2026-05-22T16:29:50+00:00,,,,,,True,False,False,2026-05-22T16:29:50+00:00,active,1,
github_com_morph_kgc_3xtudio,https://github.com/morph-kgc/3xtudio,processed,morph-kgc,3xtudio,project,False,False,main,2026-02-15T11:49:12+00:00,39,2026-01-27T21:54:14+00:00,2026-01-27T21:54:25+00:00,,,False,False,False,2026-02-15T11:49:12+00:00,low_activity,0,
github_com_morph_kgc_github,https://github.com/morph-kgc/.github,processed,morph-kgc,.github,profile,False,False,main,2026-01-20T15:19:13+00:00,,,,,,False,False,False,2026-01-20T15:19:13+00:00,low_activity,0,
github_com_morph_kgc_morph_kgc,https://github.com/morph-kgc/morph-kgc,processed,morph-kgc,morph-kgc,project,False,False,main,2026-06-28T21:09:30+00:00,395,2026-09-18T14:11:15+00:00,,2.10.0,2026-01-20T11:04:25+00:00,True,True,False,2026-09-18T14:11:15+00:00,active,27,
github_com_morph_kgc_morph_kgc_docs,https://github.com/morph-kgc/morph-kgc-docs,processed,morph-kgc,morph-kgc-docs,project,False,False,main,2026-09-16T02:27:11+00:00,2,2025-01-13T10:38:42+00:00,2025-03-07T21:31:11+00:00,2.8.1,2025-01-03T17:19:30+00:00,True,False,False,2026-09-16T02:27:11+00:00,active,2,
github_com_morph_kgc_morph_kgc_helm,https://github.com/morph-kgc/morph-kgc-helm,processed,morph-kgc,morph-kgc-helm,project,False,False,main,2024-08-19T16:38:26+00:00,1,2024-08-07T07:05:14+00:00,2024-08-19T16:38:26+00:00,,,False,False,False,2024-08-19T16:38:26+00:00,inactive,0,
github_com_oeg_upm_201612_clarityhackathon_upm,https://github.com/oeg-upm/201612-clarityhackathon-upm,processed,oeg-upm,201612-clarityhackathon-upm,project,False,False,master,2016-12-13T16:51:30+00:00,,,,,,False,False,False,2016-12-13T16:51:30+00:00,inactive,0,
github_com_oeg_upm_agora_docker,https://github.com/oeg-upm/agora-docker,processed,oeg-upm,agora-docker,project,False,False,master,2018-02-25T17:02:54+00:00,,,,,,False,False,False,2018-02-25T17:02:54+00:00,inactive,0,
